Foodtype;Region;Agricultural_production;Postharvest_handling_and_storage;Processing_and_packaging;Distribution;Consumption;Total
Cereals;Europe;0.02;0.04;0.105;0.02;0.25;0.435
Cereals;NorthAmerica;0.02;0.02;0.105;0.02;0.27;0.435
Cereals;Oceania;0.02;0.02;0.105;0.02;0.27;0.435
Cereals;IndustrializedAsia;0.02;0.1;0.105;0.02;0.2;0.445
Cereals;Sub-SaharanAfrica;0.06;0.08;0.035;0.02;0.01;0.205
Cereals;NorthAfrica;0.06;0.08;0.09;0.04;0.12;0.39
Cereals;WestandCentralAsia;0.06;0.08;0.09;0.04;0.12;0.39
Cereals;SouthandSoutheastAsia;0.06;0.07;0.035;0.02;0.03;0.215
Cereals;LatinAmerica;0.06;0.04;0.09;0.04;0.1;0.33
Rootsandtubers;Europe;0.2;0.09;0.15;0.07;0.17;0.68
Rootsandtubers;NorthAmerica;0.2;0.1;0.15;0.07;0.3;0.82
Rootsandtubers;Oceania;0.2;0.1;0.15;0.07;0.3;0.82
Rootsandtubers;IndustrializedAsia;0.2;0.07;0.15;0.09;0.1;0.61
Rootsandtubers;Sub-SaharanAfrica;0.14;0.18;0.15;0.05;0.02;0.54
Rootsandtubers;NorthAfrica;0.06;0.1;0.12;0.04;0.06;0.38
Rootsandtubers;WestandCentralAsia;0.06;0.1;0.12;0.04;0.06;0.38
Rootsandtubers;SouthandSoutheastAsia;0.06;0.19;0.1;0.11;0.03;0.49
Rootsandtubers;LatinAmerica;0.14;0.14;0.12;0.03;0.04;0.47
Oilseedsandpulses;Europe;0.1;0.01;0.05;0.01;0.04;0.21
Oilseedsandpulses;NorthAmerica;0.1;0.01;0.05;0.01;0.04;0.21
Oilseedsandpulses;Oceania;0.1;0.01;0.05;0.01;0.04;0.21
Oilseedsandpulses;IndustrializedAsia;0.12;0;0.05;0.01;0.04;0.22
Oilseedsandpulses;Sub-SaharanAfrica;0.06;0.03;0.05;0.01;0.04;0.19
Oilseedsandpulses;NorthAfrica;0.12;0.08;0.08;0.02;0.01;0.31
Oilseedsandpulses;WestandCentralAsia;0.12;0.08;0.08;0.02;0.01;0.31
Oilseedsandpulses;SouthandSoutheastAsia;0.07;0.12;0.08;0.02;0.01;0.3
Oilseedsandpulses;LatinAmerica;0.06;0.03;0.08;0.02;0.02;0.21
Fruitsandvegetables;Europe;0.2;0.05;0.02;0.1;0.19;0.56
Fruitsandvegetables;NorthAmerica;0.2;0.04;0.02;0.12;0.28;0.66
Fruitsandvegetables;Oceania;0.2;0.04;0.02;0.12;0.28;0.66
Fruitsandvegetables;IndustrializedAsia;0.1;0.08;0.02;0.08;0.15;0.43
Fruitsandvegetables;Sub-SaharanAfrica;0.1;0.09;0.25;0.17;0.05;0.66
Fruitsandvegetables;NorthAfrica;0.17;0.1;0.2;0.15;0.12;0.74
Fruitsandvegetables;WestandCentralAsia;0.17;0.1;0.2;0.15;0.12;0.74
Fruitsandvegetables;SouthandSoutheastAsia;0.15;0.09;0.25;0.1;0.07;0.66
Fruitsandvegetables;LatinAmerica;0.2;0.1;0.2;0.12;0.1;0.72
Meat;Europe;0.031;0.007;0.05;0.04;0.11;0.238
Meat;NorthAmerica;0.035;0.01;0.05;0.04;0.11;0.245
Meat;Oceania;0.035;0.01;0.05;0.04;0.11;0.245
Meat;IndustrializedAsia;0.029;0.006;0.05;0.06;0.08;0.225
Meat;Sub-SaharanAfrica;0.15;0.007;0.05;0.07;0.02;0.297
Meat;NorthAfrica;0.066;0.002;0.05;0.05;0.08;0.248
Meat;WestandCentralAsia;0.066;0.002;0.05;0.05;0.08;0.248
Meat;SouthandSoutheastAsia;0.051;0.003;0.05;0.07;0.04;0.214
Meat;LatinAmerica;0.053;0.011;0.05;0.05;0.06;0.224
Fishandseafood;Europe;0.094;0.005;0.06;0.09;0.11;0.359
Fishandseafood;NorthAmerica;0.12;0.005;0.06;0.09;0.33;0.605
Fishandseafood;Oceania;0.12;0.005;0.06;0.09;0.33;0.605
Fishandseafood;IndustrializedAsia;0.15;0.02;0.06;0.11;0.08;0.42
Fishandseafood;Sub-SaharanAfrica;0.057;0.06;0.09;0.15;0.02;0.377
Fishandseafood;NorthAfrica;0.066;0.05;0.09;0.1;0.04;0.346
Fishandseafood;WestandCentralAsia;0.066;0.05;0.09;0.1;0.04;0.346
Fishandseafood;SouthandSoutheastAsia;0.082;0.06;0.09;0.15;0.02;0.402
Fishandseafood;LatinAmerica;0.057;0.05;0.09;0.1;0.04;0.337
Milk;Europe;0.035;0.005;0.012;0.005;0.07;0.127
Milk;NorthAmerica;0.035;0.005;0.012;0.005;0.15;0.207
Milk;Oceania;0.035;0.005;0.012;0.005;0.15;0.207
Milk;IndustrializedAsia;0.035;0.01;0.012;0.005;0.05;0.112
Milk;Sub-SaharanAfrica;0.06;0.11;0.001;0.1;0.001;0.272
Milk;NorthAfrica;0.035;0.06;0.02;0.08;0.02;0.215
Milk;WestandCentralAsia;0.035;0.06;0.02;0.08;0.02;0.215
Milk;SouthandSoutheastAsia;0.035;0.06;0.02;0.1;0.01;0.225
Milk;LatinAmerica;0.035;0.06;0.02;0.08;0.04;0.235